Changed?;Location;String;String_uk;
;Tutorial;Click on the chest to|walk over to it!;Click on the chest to|walk over to it!;
;Tutorial;It's an enemy! Charge!;It's an enemy! Charge!;
;Tutorial;Drag your dice to the|sword to use it.;Drag your dice to the|sword to use it.;
;Tutorial;Nice! Because you used a 5,|that did 5 damage.;Nice! Because you used a 5,|that did 5 damage.;
;Tutorial;Now, it's his turn...;Now, it's his turn...;
;Tutorial;Click the [yellow]End Turn[] button|when you're ready.;Click the [yellow]End Turn[] button|when you're ready.;
;Tutorial;Yikes. When that thing hits|zero, it's going to hurt.;Yikes. When that thing hits|zero, it's going to hurt.;
;Tutorial;Oh no, you rolled a 1!;Oh no, you rolled a 1!;
;Tutorial;It's ok, this happens from time to time.;It's ok, this happens from time to time.;
;Tutorial;The Warrior has a special ability.;The Warrior has a special ability.;
;Tutorial;You can reroll up to|three times a turn!;You can reroll up to|three times a turn!;
;Tutorial;A 4! Try again!;A 4! Try again!;
;Tutorial;A 3! One more try...;A 3! One more try...;
;Tutorial;A 6! Perfect!;A 6! Perfect!;
;Tutorial;Alright, let's use it|on our Sword!;Alright, let's use it|on our Sword!;
;Tutorial;Bam! 6 damage!;Bam! 6 damage!;
;Tutorial;Uh oh...;Uh oh...;
;Tutorial;Ouch.;Ouch.;
;Tutorial;When you take damage, it charges|up your [yellow]Limit Break[]...;When you take damage, it charges|up your [yellow]Limit Break[]...;
;Tutorial;Click on [Yellow]Fury[] to use it!;Click on [Yellow]Fury[] to use it!;
;Tutorial;We're all charged up!|Rwrarrrrr!;We're all charged up!|Rwrarrrrr!;
;Tutorial;Bam!;Bam!;
;Tutorial;It's another enemy!;It's another enemy!;
;Tutorial;This [yellow]Battle Axe[] is more powerful|than your sword, but needs 4 or less...;This [yellow]Battle Axe[] is more powerful|than your sword, but needs 4 or less...;
;Tutorial;Perfect!;Perfect!;
;Tutorial;Ah. Now you can't use the|[yellow]Battle Axe[]! Oh well!;Ah. Now you can't use the|[yellow]Battle Axe[]! Oh well!;
;Tutorial;Some equipment will inflict|status effects when used.;Some equipment will inflict|status effects when used.;
;Tutorial;This fireball, for example?|It's going to [fire]BURN.[fire];This fireball, for example?|It's going to [fire]BURN.[fire];
;Tutorial;Look! It's the exit!;Look! It's the exit!;
