Changed?,Name,Description,Name_uk,Description_uk,
,Inventor Skillcard,,Inventor Skillcard,,
,Robot Skillcard,,Robot Skillcard,,
,Robot Skillcard,,Robot Skillcard,,
,Wildcard,,Wildcard,,
,Witch Skillcard,,Witch Skillcard,,
,Witch Skillcard,,Witch Skillcard,,
,Jester Skillcard,,Jester Skillcard,,
,Combat Roll,Reroll a dice|[gray](Reuseable),Combat Roll,Reroll a dice|[gray](Reuseable),
,Shield Bash,Bash with shield[;]|do [shield]<myshield> damage,Shield Bash,Bash with shield[;]|do [shield]<myshield> damage,
,Shield Bash_downgraded,Bash with shield[;]|do [shield]<myshield> damage,Shield Bash_downgraded,Bash with shield[;]|do [shield]<myshield> damage,
,Shield Bash_upgraded,Bash with shield[;]|do [shield]<myshield> damage,Shield Bash_upgraded,Bash with shield[;]|do [shield]<myshield> damage,
,Sword,Do [sword]<d6> damage,Sword,Do [sword]<d6> damage,
,Broadsword,Do [sword]<d6> damage,Broadsword,Do [sword]<d6> damage,
,Broadsword_upgraded,Do [sword]<d6> damage,Broadsword_upgraded,Do [sword]<d6> damage,
,Two Handed Sword,Do [sword]<d6> damage,Two Handed Sword,Do [sword]<d6> damage,
,Four Handed Sword,Do [sword]<d6> damage,Four Handed Sword,Do [sword]<d6> damage,
,Plasma Blaster,Do [sword]<d6> damage,Plasma Blaster,Do [sword]<d6> damage,
,Short Sword,Do [sword]<d6> damage,Short Sword,Do [sword]<d6> damage,
,Wooden Shield,Add [shield]<d6> shield,Wooden Shield,Add [shield]<d6> shield,
,Small Shield,Add [shield]<d6> shield,Small Shield,Add [shield]<d6> shield,
,Iron Shield,Add [shield]<d6> shield,Iron Shield,Add [shield]<d6> shield,
,Tower Shield,Add [shield]<d6> shield,Tower Shield,Add [shield]<d6> shield,
,Tower Shield_downgraded,Add [shield]<d6> shield,Tower Shield_downgraded,Add [shield]<d6> shield,
,Tower Shield_upgraded,Add [shield]<d6> shield|[gray](Reuseable),Tower Shield_upgraded,Add [shield]<d6> shield|[gray](Reuseable),
,Divine Rod,Reduce health to [heart]1,Divine Rod,Reduce health to [heart]1,
,Divine Rod_upgraded,Reduce health to [heart]1,Divine Rod_upgraded,Reduce health to [heart]1,
,Divine Rod_downgraded,Reduce health to [heart]1,Divine Rod_downgraded,Reduce health to [heart]1,
,Divine Rod_weakened,Reduce health to [heart]1,Divine Rod_weakened,Reduce health to [heart]1,
,Snowball,Do [ice]<d6> damage|Freeze [ice]1 dice,Snowball,Do [ice]<d6> damage|Freeze [ice]1 dice,
,Snowball_upgraded,Do [ice]<d6> damage|Freeze [ice]1 dice,Snowball_upgraded,Do [ice]<d6> damage|Freeze [ice]1 dice,
,Snowball_downgraded,Do [sword]<d6> damage,Snowball_downgraded,Do [sword]<d6> damage,
,Freeze Spell,Deal [ice]5 damage|Freeze [ice]2 dice,Freeze Spell,Deal [ice]5 damage|Freeze [ice]2 dice,
,Freeze Spell_downgraded,Deal [ice]5 damage|Freeze [ice]1 dice,Freeze Spell_downgraded,Deal [ice]5 damage|Freeze [ice]1 dice,
,Freeze Spell_upgraded,Deal [ice]5 damage|Freeze [ice]ALL dice,Freeze Spell_upgraded,Deal [ice]5 damage|Freeze [ice]ALL dice,
,Flame Spell,Deal [fire]5 damage|Burn [fire]2 dice,Flame Spell,Deal [fire]5 damage|Burn [fire]2 dice,
,Flame Spell_upgraded,Deal [fire]6 damage|Burn [fire]ALL dice,Flame Spell_upgraded,Deal [fire]6 damage|Burn [fire]ALL dice,
,Flame Spell_downgraded,Deal [sword]5 damage,Flame Spell_downgraded,Deal [sword]5 damage,
,Fireball,Deal [fire]<d6> damage|Burn [fire]1 dice,Fireball,Deal [fire]<d6> damage|Burn [fire]1 dice,
,Fireball_upgraded,Deal [fire]<d6> damage|Burn [fire]2 dice,Fireball_upgraded,Deal [fire]<d6> damage|Burn [fire]2 dice,
,Fireball_downgraded,Deal [sword]<d6> damage,Fireball_downgraded,Deal [sword]<d6> damage,
,Backfire,Lose [heart]5 health,Backfire,Lose [heart]5 health,
