Changed;Fighter;String;String_uk;
;Magician;Pfft, typical.||I spend all day stuffing roses and rabbits up my sleeves|and then I lose before I even get to use them.;Pfft, typical.||I spend all day stuffing roses and rabbits up my sleeves|and then I lose before I even get to use them.;
;Magician;Oh no! I was aiming for 'magic', but this outcome is|closer to 'tragic'.;Oh no! I was aiming for 'magic', but this outcome is|closer to 'tragic'.;
;Space Marine;Zooooom! Boooom! That was spectacular!||Hey, if you make it out of here, say hello|to the moon for me.||I still think about it every day...;Zooooom! Boooom! That was spectacular!||Hey, if you make it out of here, say hello|to the moon for me.||I still think about it every day...;
;Space Marine;Bazaaaam, you're a star!||Ah, I loved the stars.;Bazaaaam, you're a star!||Ah, I loved the stars.;
;Space Marine;BAAAAM! I'm so proud of you!||I mean, you beat Lady Luck, of course you'll|have no problem beating me!;BAAAAM! I'm so proud of you!||I mean, you beat Lady Luck, of course you'll|have no problem beating me!;
;Vacuum;Honestly, everyone knows you shouldn't|use a vacuum to clean up dice.||A dust pan and brush, that's where it's at.;Honestly, everyone knows you shouldn't|use a vacuum to clean up dice.||A dust pan and brush, that's where it's at.;
;Vacuum;Ugh! How embarassing.||If this gets back to the Roombas I'll never hear the end of it!;Ugh! How embarassing.||If this gets back to the Roombas I'll never hear the end of it!;
;Vacuum;Well, I'm running on my emergency battery!|What can you expect?;Well, I'm running on my emergency battery!|What can you expect?;
;Gardener;Don't you go poking around in my mushrooms!||It's taken me eighty-three years to get them this soggy!;Don't you go poking around in my mushrooms!||It's taken me eighty-three years to get them this soggy!;
;Hothead;I wasn't even trying, you know.|Win if you want, I don't care.;I wasn't even trying, you know.|Win if you want, I don't care.;
;Hothead;I'm actually not bothered. And I didn't want to win anyway.;I'm actually not bothered. And I didn't want to win anyway.;
;Hothead;Well, aren't you a little tryhard.;Well, aren't you a little tryhard.;
;RoboBot;Pew! Pew-pew-pew pew!||I'll get you next time, you big dice!|BZZZT! Pew-pew-pew-pew!;Pew! Pew-pew-pew pew!||I'll get you next time, you big dice!|BZZZT! Pew-pew-pew-pew!;
;RoboBot;Pew PEW pew PEW pew PEW!||BZZZZZZZZZT!;Pew PEW pew PEW pew PEW!||BZZZZZZZZZT!;
;Slime;Slup slup SLORP slurp!||SLORP slurp! SLUP!;Slup slup SLORP slurp!||SLORP slurp! SLUP!;
;Slime;Slurp!||SLUUUUUUUURP!;Slurp!||SLUUUUUUUURP!;
;Slime;Slup slup-slup slup!|Slup-slup slup slurp!||SLORP.;Slup slup-slup slup!|Slup-slup slup slurp!||SLORP.;
;Slime;S-lurp lurp! Slup-p-purp!;S-lurp lurp! Slup-p-purp!;
;Frog;Ugggh! I keep telling them|I need a bigger sword!;Ugggh! I keep telling them|I need a bigger sword!;
;Frog;Ugggh. I'll get you next time!||Hey, actually do you have any spare weapons I can borrow?;Ugggh. I'll get you next time!||Hey, actually do you have any spare weapons I can borrow?;
;Wolf Puppy;Hey! Hey! Hey! If you see my|mum could you say hi to her?||She's like me but she's REALLY BIG|and her teeth are so sharp!;Hey! Hey! Hey! If you see my|mum could you say hi to her?||She's like me but she's REALLY BIG|and her teeth are so sharp!;
;Wolf Puppy;Hey! Hey! It's you! Can you give me a pat?||I promise I won't bite *all* your hand off!;Hey! Hey! It's you! Can you give me a pat?||I promise I won't bite *all* your hand off!;
;Dryad;Oh you think you can beat TREES do you?|You feeling good?||The trees will WAIT and they will|EAT you when you're gone, mate.;Oh you think you can beat TREES do you?|You feeling good?||The trees will WAIT and they will|EAT you when you're gone, mate.;
;Dryad;You can't hide from trees!||They live for hundreds of years! They feast on the dead!;You can't hide from trees!||They live for hundreds of years! They feast on the dead!;
;Dryad;You think you're so smart, don't you? But|trees are the original vampire, mate.||They grow from dust and they FEED on your BLOOD.;You think you're so smart, don't you? But|trees are the original vampire, mate.||They grow from dust and they FEED on your BLOOD.;
;Baby Squid;Aaaa, you win, that was so clever! It was so|much fun playing with you!||Please visit me again, I get so bored|and lonely here.;Aaaa, you win, that was so clever! It was so|much fun playing with you!||Please visit me again, I get so bored|and lonely here.;
;Baby Squid;That was such a good fight!||But not as good as when we all beat Lady Luck, that|was SO good! You're so brave and smart!;That was such a good fight!||But not as good as when we all beat Lady Luck, that|was SO good! You're so brave and smart!;
;Sticky Hands;Beat ya later, gladiator!;Beat ya later, gladiator!;
;Sticky Hands;Ha ha, I'll just wait for you to lose,|and then I'll take *all* your gold.;Ha ha, I'll just wait for you to lose,|and then I'll take *all* your gold.;
;Alchemist;*sighs* I had a really good potion coming up. What a waste.;*sighs* I had a really good potion coming up. What a waste.;
;Alchemist;Yet again the fight ends before I get to use my best stuff.|Honestly, these Dungeons.;Yet again the fight ends before I get to use my best stuff.|Honestly, these Dungeons.;
;Alchemist;This potion was going to blow your mind! Literally!||I only had to boil it for thirty more seconds|and it would have been perfect.;This potion was going to blow your mind! Literally!||I only had to boil it for thirty more seconds|and it would have been perfect.;
;Marshmallow;Mua-ha-ha! You think because of one lucky fight|you can win the whole game? Not a chance!||Mua-ha-ha-harshmallow will get you next time!;Mua-ha-ha! You think because of one lucky fight|you can win the whole game? Not a chance!||Mua-ha-ha-harshmallow will get you next time!;
;Marshmallow;There's only room for *one* cube monster in|this dungeon, and it's mua-ha-harshmallow!;There's only room for *one* cube monster in|this dungeon, and it's mua-ha-harshmallow!;
;Marshmallow;Mua-ha-harshmallow isn't happy about this!||Just because you beat Lady Luck once doesn't|mean you can beat us all the time!;Mua-ha-harshmallow isn't happy about this!||Just because you beat Lady Luck once doesn't|mean you can beat us all the time!;
;Mimic;Hey, I've got some super-comfy cushions|here if you want to crawl in for a nap...;Hey, I've got some super-comfy cushions|here if you want to crawl in for a nap...;
;Mimic;Oh well done! But that fight must have taken it out of you.||Why not climb into this entirely non-suspicious|chest-shaped resting space and take a nap?;Oh well done! But that fight must have taken it out of you.||Why not climb into this entirely non-suspicious|chest-shaped resting space and take a nap?;
;Stereohead;Hey, rad fight!||I don't suppose you've got any cassettes with you|from literally any year after 1986?;Hey, rad fight!||I don't suppose you've got any cassettes with you|from literally any year after 1986?;
;Wizard;Stupendous! Delightful!||I look forward to fighting you many more|times in our eternity together!;Stupendous! Delightful!||I look forward to fighting you many more|times in our eternity together!;
;Wizard;Splendid! Very convincing! You and your friends|are doing excellently, really excellently.;Splendid! Very convincing! You and your friends|are doing excellently, really excellently.;
;Wizard;You continue to impress me with your hard work!||My congratulations on your victories, against|me and against Lady Luck.;You continue to impress me with your hard work!||My congratulations on your victories, against|me and against Lady Luck.;
;Sneezy;I wasn't always sneezy, you know.|I'm just allergic to dungeons.;I wasn't always sneezy, you know.|I'm just allergic to dungeons.;
;Sneezy;[quote]Never mind the dungeon allergy[quote], I said.|[quote]I'll bring antihistamines, I'll be fine[quote], I said.||But I ran out after a year. And I've been|here so much longer than that.;[quote]Never mind the dungeon allergy[quote], I said.|[quote]I'll bring antihistamines, I'll be fine[quote], I said.||But I ran out after a year. And I've been|here so much longer than that.;
;Sneezy;Ah- ah- ahhhh-|...|...||Oh I hate it when the sneeze doesn't even arr- CHOO!;Ah- ah- ahhhh-|...|...||Oh I hate it when the sneeze doesn't even arr- CHOO!;
;Sorceress;okay cool, thanks for the fight or whatever|sideeye.gif||ugh, this place is the worst;okay cool, thanks for the fight or whatever|sideeye.gif||ugh, this place is the worst;
;Sorceress;#thisfightwasdumb #whatever #drama #whocares;#thisfightwasdumb #whatever #drama #whocares;
;Copycat;I know you are, but what am I?[];I know you are, but what am I?[];
;Copycat;I'm rubber, you're glue. Bounces off|me and sticks to you!;I'm rubber, you're glue. Bounces off|me and sticks to you!;
;Copycat;Takes one to know one!;Takes one to know one!;
;Keymaster;Oh, nicely done! Really solid fighting there!||You're going to make such a great minion once you lose!;Oh, nicely done! Really solid fighting there!||You're going to make such a great minion once you lose!;
;Bully;I'll be back! And I've got plenty more rocks|where those came from!||Which is here, in this underground|dungeon full of rocks!;I'll be back! And I've got plenty more rocks|where those came from!||Which is here, in this underground|dungeon full of rocks!;
;Dire Wolf;Grrrrr! I'll get you next time, you|sneaky little cube.||Also hey look if you see my kid can you make|sure he's brushing his teeth?;Grrrrr! I'll get you next time, you|sneaky little cube.||Also hey look if you see my kid can you make|sure he's brushing his teeth?;
;Handyman;Amazing work! High five!||And again, and again - come on, keep|going till you've got all the hands!;Amazing work! High five!||And again, and again - come on, keep|going till you've got all the hands!;
;Handyman;Good on ya! Gimme thirty!;Good on ya! Gimme thirty!;
;Handyman;Awesome! Put it there! And here! Get two of your|buddies along and put it everywhere!;Awesome! Put it there! And here! Get two of your|buddies along and put it everywhere!;
;Fireman;Good one! I love an old-fashioned flame war!;Good one! I love an old-fashioned flame war!;
;Fireman;Sick burn!;Sick burn!;
;Fireman;Now we're playin' with fire!;Now we're playin' with fire!;
;Yeti;Ugh, what are you even doing here?||These dungeons *used* to be cool.;Ugh, what are you even doing here?||These dungeons *used* to be cool.;
;Yeti;Ugh, I guess they'll let anyone be a contestant these days.;Ugh, I guess they'll let anyone be a contestant these days.;
;Yeti;Ugh, you only beat Lady Luck because we all helped you,|you know. You're not as special as you think.;Ugh, you only beat Lady Luck because we all helped you,|you know. You're not as special as you think.;
;Kraken;Grr! This is outrageous!||I was SLEEPETH below the UPPER DEEP|and you WOKE ME UP for THIS?;Grr! This is outrageous!||I was SLEEPETH below the UPPER DEEP|and you WOKE ME UP for THIS?;
;Kraken;I was WINNOWING with GIANT ARMS the SLUMBERING GREEN,|and you INTERRUPT me for YET ANOTHER fight?;I was WINNOWING with GIANT ARMS the SLUMBERING GREEN,|and you INTERRUPT me for YET ANOTHER fight?;
;Kraken;And again! Again you barge in while I've|LAIN FOR AGES in UNINVADED SLEEP.||Not so uninvaded now! I hope you're|pleased with yourself!;And again! Again you barge in while I've|LAIN FOR AGES in UNINVADED SLEEP.||Not so uninvaded now! I hope you're|pleased with yourself!;
;Kraken;You WON and yet STILL you must wake me|for your IDEA of a FIGHT?||May HUGE SPONGES of MILLENNIAL GROWTH|AND HEIGHT consume you all!;You WON and yet STILL you must wake me|for your IDEA of a FIGHT?||May HUGE SPONGES of MILLENNIAL GROWTH|AND HEIGHT consume you all!;
;Haunted Jar;......... doomed ......... you ......... remember .........;......... doomed ......... you ......... remember .........;
;Haunted Jar;...... even ............ was once .................. trapped ...... eternity ........;...... even ............ was once .................. trapped ...... eternity ........;
;Crystalina;CRYSTAL|C R Y S T A L||C    R    Y    S    T    A    L;CRYSTAL|C R Y S T A L||C    R    Y    S    T    A    L;
;Crystalina;T O P A Z     J A S P E R    B L O O D S T O N E||A M E T H Y S T||A   M   E   T   H   Y    S   T;T O P A Z     J A S P E R    B L O O D S T O N E||A M E T H Y S T||A   M   E   T   H   Y    S   T;
;Crystalina;Q|U||A|R||T|Z;Q|U||A|R||T|Z;
;Crystalina;T U R Q U O I S E;T U R Q U O I S E;
;Wicker Man;Ah don't feel bad, mate! I'll just weave|myself back together again...;Ah don't feel bad, mate! I'll just weave|myself back together again...;
;Wicker Man;Maybe this time I'll weave myself longer legs!||Ah, it's great to be made of wicker, you should try it!;Maybe this time I'll weave myself longer legs!||Ah, it's great to be made of wicker, you should try it!;
;Wicker Man;Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...;Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...;
;Wicker Man;Great that you're still around, mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.;Great that you're still around, mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.;
;Snowman;I love a good snowball fight, and|that really was pretty good.||Wanna stick around and make snow angels?;I love a good snowball fight, and|that really was pretty good.||Wanna stick around and make snow angels?;
;Snowman;You know, my friends call me Frosty. I don't think|you're a friend yet... but maybe you could be?;You know, my friends call me Frosty. I don't think|you're a friend yet... but maybe you could be?;
;Snowman;They say there's no business like snow business.;They say there's no business like snow business.;
;Loud Bird;Caw! Ca-caaaaw!||...Caw!;Caw! Ca-caaaaw!||...Caw!;
;Loud Bird;Caw.||CAW.;Caw.||CAW.;
;Loud Bird;CAW. CAW. CAW.||Caw?;CAW. CAW. CAW.||Caw?;
;Loud Bird;CAAAAAW caw.||CAW!;CAAAAAW caw.||CAW!;
;Cowboy;Good fightin', high roller! I'll cook your goose next|time, don't you worry.;Good fightin', high roller! I'll cook your goose next|time, don't you worry.;
