Changed?,String,String_uk,Location,Notes,
,Start,Start,Intro Message,Button (start the game),
,Created by Terry Cavanagh[;] Marlowe Dobbe[;] Chipzel and Justo Delgado,Created by Terry Cavanagh[;] Marlowe Dobbe[;] Chipzel and Justo Delgado,Title Screen,The game credits,
,Modding support by Lars Doucet[;] PR by Dana Trebella[;] Writing by Holly Gramazio,Modding support by Lars Doucet[;] PR by Dana Trebella[;] Writing by Holly Gramazio,Title Screen,Credits,
,_language_ translation by _translator_,_language_ translation by _translator_,Title Screen,To add your own credits for translation (e.g. Klingon translation by Worf),
,Play,Play,Title Screen,Button (play button on main menu),
,Editor,Editor,Title Screen,Button (open the editor),
,Volume:,Volume:,Title Screen,Shown in front of volume slide,
,Select,Select,Character Selection,Button (select a character),
,Choose your character,Choose your character,Character Selection,Choose one character from the available list,
,Hard mode,Hard mode,Character Selection,A toggle button to enable or disable hard mode,
,(Good luck! In this mode[;] all enemies get 20% more health[;] and upgraded equipment.),(Good luck! In this mode[;] all enemies get 20% more health[;] and upgraded equipment.),Character Selection,Appears if you enable hard mode,
,Coming soon!,Coming soon!,Character Selection,New class description,
,Final Floor,Final Floor,Map Screen,Shown when you are on the last floor,
,Floor,Floor,Map Screen,Shown in the context of Floor 1 or Floor 2,
,Level,Level,Map Screen,Shown in the context of Level 1 or Level 2,
,Lvl,Lvl,Map Screen,Short version of Level for some situations - at the start of a sentence,
,lvl,lvl,Map Screen,Short version of Level for some situations,
,At max level,At max level,Map Screen,Shown in the character stats when you are at max level,
,Equipment,Equipment,Map Screen,Button (open your equipment menu),
,Back,Back,Map Screen,Button (go back to the last screen),
,BOSS,BOSS,Map Screen,Shown if you mouse over a boss enemy,
,Level up in [star][],Level up in [star][],Map Screen,Shows how many stars till next level. Number of stars needed is displayed to the right of this string e.g. Level up in [star][] 6,
,EQUIPPED,EQUIPPED,Inventory Screen,Shows the items you have equipped,
,IN BACKPACK,IN BACKPACK,Inventory Screen,Shows the items that are in your backpack,
,TURN,TURN,Combat,Shown in the top left of combat - turn counter e.g. TURN 4,
,FLEE IN,FLEE IN,Combat,Shown in the top left of combat -e.g. FLEE IN 5 TURNS or FLEE IN 1 TURN,
,TURNS,TURNS,Combat,Shown in the top left of combat -e.g. FLEE IN 5 TURNS,
,EVEN,EVEN,Combat,Dice placed here must be EVEN (2-4-6),
,ODD,ODD,Combat,Dice placed here must be ODD (1-3-5),
,MAX,MAX,Combat,Dice placed here must not be more than this value (e.g. max 5),
,MIN,MIN,Combat,Dice placed here must not be less than this value (e.g. min 3),
,max,max,Combat,Dice placed here must not be more than this value (e.g. max 5),
,min,min,Combat,Dice placed here must not be less than this value (e.g. min 3),
,NEEDS DOUBLES,NEEDS DOUBLES,Combat,Need to place two matching dice in these slots,
,NEEDS 1,NEEDS 1,Combat,Need to place this number in the slot,
,NEEDS 2,NEEDS 2,Combat,Need to place this number in the slot,
,NEEDS 3,NEEDS 3,Combat,Need to place this number in the slot,
,NEEDS 4,NEEDS 4,Combat,Need to place this number in the slot,
,NEEDS 5,NEEDS 5,Combat,Need to place this number in the slot,
,NEEDS 6,NEEDS 6,Combat,Need to place this number in the slot,
,MUST EQUAL 2,MUST EQUAL 2,Combat,These two dice need to total this number,
,MUST EQUAL 3,MUST EQUAL 3,Combat,These two dice need to total this number,
,MUST EQUAL 4,MUST EQUAL 4,Combat,These two dice need to total this number,
,MUST EQUAL 5,MUST EQUAL 5,Combat,These two dice need to total this number,
,MUST EQUAL 6,MUST EQUAL 6,Combat,These two dice need to total this number,
,MUST EQUAL 7,MUST EQUAL 7,Combat,These two dice need to total this number,
,MUST EQUAL 8,MUST EQUAL 8,Combat,These two dice need to total this number,
